id,term_en,term_fr,definition_fr,synonyms,tags,label_primary,text_for_embedding,text_for_search
1,Revenue,Chiffre d'affaires,Total des ventes générées par une entreprise,revenue | chiffre d'affaires | revenue metric | chiffre d'affaires financier,valuation,valuation,English term: Revenue. Terme français: Chiffre d'affaires. Définition: Total des ventes générées par une entreprise. Synonymes: revenue | chiffre d'affaires | revenue metric | chiffre d'affaires financier. Tags: valuation.,Revenue Chiffre d'affaires Total des ventes générées par une entreprise revenue chiffre d'affaires revenue metric chiffre d'affaires financier valuation
12,EBITDA,EBITDA,"Résultat avant intérêts, impôts, dépréciation et amortissement",ebitda | ebitda | ebitda metric | ebitda financier,trading,trading,"English term: EBITDA. Terme français: EBITDA. Définition: Résultat avant intérêts, impôts, dépréciation et amortissement. Synonymes: ebitda | ebitda | ebitda metric | ebitda financier. Tags: trading.","EBITDA EBITDA Résultat avant intérêts, impôts, dépréciation et amortissement ebitda ebitda ebitda metric ebitda financier trading"
13,Net Income,Résultat net,Profit final après toutes les charges,net income | résultat net | net income metric | résultat net financier,trading,trading,English term: Net Income. Terme français: Résultat net. Définition: Profit final après toutes les charges. Synonymes: net income | résultat net | net income metric | résultat net financier. Tags: trading.,Net Income Résultat net Profit final après toutes les charges net income résultat net net income metric résultat net financier trading
14,Cash Flow,Flux de trésorerie,Entrées et sorties de liquidités,cash flow | flux de trésorerie | cash flow metric | flux de trésorerie financier,trading,trading,English term: Cash Flow. Terme français: Flux de trésorerie. Définition: Entrées et sorties de liquidités. Synonymes: cash flow | flux de trésorerie | cash flow metric | flux de trésorerie financier. Tags: trading.,Cash Flow Flux de trésorerie Entrées et sorties de liquidités cash flow flux de trésorerie cash flow metric flux de trésorerie financier trading
15,Bond,Obligation,Titre de dette émis par une entité,bond | obligation | bond metric | obligation financier,trading,trading,English term: Bond. Terme français: Obligation. Définition: Titre de dette émis par une entité. Synonymes: bond | obligation | bond metric | obligation financier. Tags: trading.,Bond Obligation Titre de dette émis par une entité bond obligation bond metric obligation financier trading
16,Stock,Action,Part de propriété dans une entreprise,stock | action | stock metric | action financier,trading,trading,English term: Stock. Terme français: Action. Définition: Part de propriété dans une entreprise. Synonymes: stock | action | stock metric | action financier. Tags: trading.,Stock Action Part de propriété dans une entreprise stock action stock metric action financier trading
17,Volatility,Volatilité,Mesure des fluctuations des prix,volatility | volatilité | volatility metric | volatilité financier,trading,trading,English term: Volatility. Terme français: Volatilité. Définition: Mesure des fluctuations des prix. Synonymes: volatility | volatilité | volatility metric | volatilité financier. Tags: trading.,Volatility Volatilité Mesure des fluctuations des prix volatility volatilité volatility metric volatilité financier trading
18,Liquidity,Liquidité,Capacité à acheter/vendre rapidement sans impacter le prix,liquidity | liquidité | liquidity metric | liquidité financier,trading,trading,English term: Liquidity. Terme français: Liquidité. Définition: Capacité à acheter/vendre rapidement sans impacter le prix. Synonymes: liquidity | liquidité | liquidity metric | liquidité financier. Tags: trading.,Liquidity Liquidité Capacité à acheter/vendre rapidement sans impacter le prix liquidity liquidité liquidity metric liquidité financier trading
19,Option,Option,Produit dérivé donnant un droit d'achat ou de vente,option | option | option metric | option financier,trading,trading,English term: Option. Terme français: Option. Définition: Produit dérivé donnant un droit d'achat ou de vente. Synonymes: option | option | option metric | option financier. Tags: trading.,Option Option Produit dérivé donnant un droit d'achat ou de vente option option option metric option financier trading
20,Interest Rate,Taux d'intérêt,Coût de l'argent dans le temps,interest rate | taux d'intérêt | interest rate metric | taux d'intérêt financier,trading,trading,English term: Interest Rate. Terme français: Taux d'intérêt. Définition: Coût de l'argent dans le temps. Synonymes: interest rate | taux d'intérêt | interest rate metric | taux d'intérêt financier. Tags: trading.,Interest Rate Taux d'intérêt Coût de l'argent dans le temps interest rate taux d'intérêt interest rate metric taux d'intérêt financier trading
21,Revenue,Chiffre d'affaires,Total des ventes générées par une entreprise,revenue | chiffre d'affaires | revenue metric | chiffre d'affaires financier,risk,risk,English term: Revenue. Terme français: Chiffre d'affaires. Définition: Total des ventes générées par une entreprise. Synonymes: revenue | chiffre d'affaires | revenue metric | chiffre d'affaires financier. Tags: risk.,Revenue Chiffre d'affaires Total des ventes générées par une entreprise revenue chiffre d'affaires revenue metric chiffre d'affaires financier risk
22,EBITDA,EBITDA,"Résultat avant intérêts, impôts, dépréciation et amortissement",ebitda | ebitda | ebitda metric | ebitda financier,risk,risk,"English term: EBITDA. Terme français: EBITDA. Définition: Résultat avant intérêts, impôts, dépréciation et amortissement. Synonymes: ebitda | ebitda | ebitda metric | ebitda financier. Tags: risk.","EBITDA EBITDA Résultat avant intérêts, impôts, dépréciation et amortissement ebitda ebitda ebitda metric ebitda financier risk"
23,Net Income,Résultat net,Profit final après toutes les charges,net income | résultat net | net income metric | résultat net financier,risk,risk,English term: Net Income. Terme français: Résultat net. Définition: Profit final après toutes les charges. Synonymes: net income | résultat net | net income metric | résultat net financier. Tags: risk.,Net Income Résultat net Profit final après toutes les charges net income résultat net net income metric résultat net financier risk
24,Cash Flow,Flux de trésorerie,Entrées et sorties de liquidités,cash flow | flux de trésorerie | cash flow metric | flux de trésorerie financier,risk,risk,English term: Cash Flow. Terme français: Flux de trésorerie. Définition: Entrées et sorties de liquidités. Synonymes: cash flow | flux de trésorerie | cash flow metric | flux de trésorerie financier. Tags: risk.,Cash Flow Flux de trésorerie Entrées et sorties de liquidités cash flow flux de trésorerie cash flow metric flux de trésorerie financier risk
25,Bond,Obligation,Titre de dette émis par une entité,bond | obligation | bond metric | obligation financier,risk,risk,English term: Bond. Terme français: Obligation. Définition: Titre de dette émis par une entité. Synonymes: bond | obligation | bond metric | obligation financier. Tags: risk.,Bond Obligation Titre de dette émis par une entité bond obligation bond metric obligation financier risk
26,Stock,Action,Part de propriété dans une entreprise,stock | action | stock metric | action financier,risk,risk,English term: Stock. Terme français: Action. Définition: Part de propriété dans une entreprise. Synonymes: stock | action | stock metric | action financier. Tags: risk.,Stock Action Part de propriété dans une entreprise stock action stock metric action financier risk
27,Volatility,Volatilité,Mesure des fluctuations des prix,volatility | volatilité | volatility metric | volatilité financier,risk,risk,English term: Volatility. Terme français: Volatilité. Définition: Mesure des fluctuations des prix. Synonymes: volatility | volatilité | volatility metric | volatilité financier. Tags: risk.,Volatility Volatilité Mesure des fluctuations des prix volatility volatilité volatility metric volatilité financier risk
28,Liquidity,Liquidité,Capacité à acheter/vendre rapidement sans impacter le prix,liquidity | liquidité | liquidity metric | liquidité financier,risk,risk,English term: Liquidity. Terme français: Liquidité. Définition: Capacité à acheter/vendre rapidement sans impacter le prix. Synonymes: liquidity | liquidité | liquidity metric | liquidité financier. Tags: risk.,Liquidity Liquidité Capacité à acheter/vendre rapidement sans impacter le prix liquidity liquidité liquidity metric liquidité financier risk
29,Option,Option,Produit dérivé donnant un droit d'achat ou de vente,option | option | option metric | option financier,risk,risk,English term: Option. Terme français: Option. Définition: Produit dérivé donnant un droit d'achat ou de vente. Synonymes: option | option | option metric | option financier. Tags: risk.,Option Option Produit dérivé donnant un droit d'achat ou de vente option option option metric option financier risk
30,Interest Rate,Taux d'intérêt,Coût de l'argent dans le temps,interest rate | taux d'intérêt | interest rate metric | taux d'intérêt financier,risk,risk,English term: Interest Rate. Terme français: Taux d'intérêt. Définition: Coût de l'argent dans le temps. Synonymes: interest rate | taux d'intérêt | interest rate metric | taux d'intérêt financier. Tags: risk.,Interest Rate Taux d'intérêt Coût de l'argent dans le temps interest rate taux d'intérêt interest rate metric taux d'intérêt financier risk
31,Revenue,Chiffre d'affaires,Total des ventes générées par une entreprise,revenue | chiffre d'affaires | revenue metric | chiffre d'affaires financier,accounting,accounting,English term: Revenue. Terme français: Chiffre d'affaires. Définition: Total des ventes générées par une entreprise. Synonymes: revenue | chiffre d'affaires | revenue metric | chiffre d'affaires financier. Tags: accounting.,Revenue Chiffre d'affaires Total des ventes générées par une entreprise revenue chiffre d'affaires revenue metric chiffre d'affaires financier accounting
32,EBITDA,EBITDA,"Résultat avant intérêts, impôts, dépréciation et amortissement",ebitda | ebitda | ebitda metric | ebitda financier,accounting,accounting,"English term: EBITDA. Terme français: EBITDA. Définition: Résultat avant intérêts, impôts, dépréciation et amortissement. Synonymes: ebitda | ebitda | ebitda metric | ebitda financier. Tags: accounting.","EBITDA EBITDA Résultat avant intérêts, impôts, dépréciation et amortissement ebitda ebitda ebitda metric ebitda financier accounting"
33,Net Income,Résultat net,Profit final après toutes les charges,net income | résultat net | net income metric | résultat net financier,accounting,accounting,English term: Net Income. Terme français: Résultat net. Définition: Profit final après toutes les charges. Synonymes: net income | résultat net | net income metric | résultat net financier. Tags: accounting.,Net Income Résultat net Profit final après toutes les charges net income résultat net net income metric résultat net financier accounting
34,Cash Flow,Flux de trésorerie,Entrées et sorties de liquidités,cash flow | flux de trésorerie | cash flow metric | flux de trésorerie financier,accounting,accounting,English term: Cash Flow. Terme français: Flux de trésorerie. Définition: Entrées et sorties de liquidités. Synonymes: cash flow | flux de trésorerie | cash flow metric | flux de trésorerie financier. Tags: accounting.,Cash Flow Flux de trésorerie Entrées et sorties de liquidités cash flow flux de trésorerie cash flow metric flux de trésorerie financier accounting
35,Bond,Obligation,Titre de dette émis par une entité,bond | obligation | bond metric | obligation financier,accounting,accounting,English term: Bond. Terme français: Obligation. Définition: Titre de dette émis par une entité. Synonymes: bond | obligation | bond metric | obligation financier. Tags: accounting.,Bond Obligation Titre de dette émis par une entité bond obligation bond metric obligation financier accounting
36,Stock,Action,Part de propriété dans une entreprise,stock | action | stock metric | action financier,accounting,accounting,English term: Stock. Terme français: Action. Définition: Part de propriété dans une entreprise. Synonymes: stock | action | stock metric | action financier. Tags: accounting.,Stock Action Part de propriété dans une entreprise stock action stock metric action financier accounting
37,Volatility,Volatilité,Mesure des fluctuations des prix,volatility | volatilité | volatility metric | volatilité financier,accounting,accounting,English term: Volatility. Terme français: Volatilité. Définition: Mesure des fluctuations des prix. Synonymes: volatility | volatilité | volatility metric | volatilité financier. Tags: accounting.,Volatility Volatilité Mesure des fluctuations des prix volatility volatilité volatility metric volatilité financier accounting
38,Liquidity,Liquidité,Capacité à acheter/vendre rapidement sans impacter le prix,liquidity | liquidité | liquidity metric | liquidité financier,accounting,accounting,English term: Liquidity. Terme français: Liquidité. Définition: Capacité à acheter/vendre rapidement sans impacter le prix. Synonymes: liquidity | liquidité | liquidity metric | liquidité financier. Tags: accounting.,Liquidity Liquidité Capacité à acheter/vendre rapidement sans impacter le prix liquidity liquidité liquidity metric liquidité financier accounting
39,Option,Option,Produit dérivé donnant un droit d'achat ou de vente,option | option | option metric | option financier,accounting,accounting,English term: Option. Terme français: Option. Définition: Produit dérivé donnant un droit d'achat ou de vente. Synonymes: option | option | option metric | option financier. Tags: accounting.,Option Option Produit dérivé donnant un droit d'achat ou de vente option option option metric option financier accounting
40,Interest Rate,Taux d'intérêt,Coût de l'argent dans le temps,interest rate | taux d'intérêt | interest rate metric | taux d'intérêt financier,accounting,accounting,English term: Interest Rate. Terme français: Taux d'intérêt. Définition: Coût de l'argent dans le temps. Synonymes: interest rate | taux d'intérêt | interest rate metric | taux d'intérêt financier. Tags: accounting.,Interest Rate Taux d'intérêt Coût de l'argent dans le temps interest rate taux d'intérêt interest rate metric taux d'intérêt financier accounting
41,Revenue,Chiffre d'affaires,Total des ventes générées par une entreprise,revenue | chiffre d'affaires | revenue metric | chiffre d'affaires financier,macro,macro,English term: Revenue. Terme français: Chiffre d'affaires. Définition: Total des ventes générées par une entreprise. Synonymes: revenue | chiffre d'affaires | revenue metric | chiffre d'affaires financier. Tags: macro.,Revenue Chiffre d'affaires Total des ventes générées par une entreprise revenue chiffre d'affaires revenue metric chiffre d'affaires financier macro
42,EBITDA,EBITDA,"Résultat avant intérêts, impôts, dépréciation et amortissement",ebitda | ebitda | ebitda metric | ebitda financier,macro,macro,"English term: EBITDA. Terme français: EBITDA. Définition: Résultat avant intérêts, impôts, dépréciation et amortissement. Synonymes: ebitda | ebitda | ebitda metric | ebitda financier. Tags: macro.","EBITDA EBITDA Résultat avant intérêts, impôts, dépréciation et amortissement ebitda ebitda ebitda metric ebitda financier macro"
43,Net Income,Résultat net,Profit final après toutes les charges,net income | résultat net | net income metric | résultat net financier,macro,macro,English term: Net Income. Terme français: Résultat net. Définition: Profit final après toutes les charges. Synonymes: net income | résultat net | net income metric | résultat net financier. Tags: macro.,Net Income Résultat net Profit final après toutes les charges net income résultat net net income metric résultat net financier macro
44,Cash Flow,Flux de trésorerie,Entrées et sorties de liquidités,cash flow | flux de trésorerie | cash flow metric | flux de trésorerie financier,macro,macro,English term: Cash Flow. Terme français: Flux de trésorerie. Définition: Entrées et sorties de liquidités. Synonymes: cash flow | flux de trésorerie | cash flow metric | flux de trésorerie financier. Tags: macro.,Cash Flow Flux de trésorerie Entrées et sorties de liquidités cash flow flux de trésorerie cash flow metric flux de trésorerie financier macro
45,Bond,Obligation,Titre de dette émis par une entité,bond | obligation | bond metric | obligation financier,macro,macro,English term: Bond. Terme français: Obligation. Définition: Titre de dette émis par une entité. Synonymes: bond | obligation | bond metric | obligation financier. Tags: macro.,Bond Obligation Titre de dette émis par une entité bond obligation bond metric obligation financier macro
46,Stock,Action,Part de propriété dans une entreprise,stock | action | stock metric | action financier,macro,macro,English term: Stock. Terme français: Action. Définition: Part de propriété dans une entreprise. Synonymes: stock | action | stock metric | action financier. Tags: macro.,Stock Action Part de propriété dans une entreprise stock action stock metric action financier macro
47,Volatility,Volatilité,Mesure des fluctuations des prix,volatility | volatilité | volatility metric | volatilité financier,macro,macro,English term: Volatility. Terme français: Volatilité. Définition: Mesure des fluctuations des prix. Synonymes: volatility | volatilité | volatility metric | volatilité financier. Tags: macro.,Volatility Volatilité Mesure des fluctuations des prix volatility volatilité volatility metric volatilité financier macro
48,Liquidity,Liquidité,Capacité à acheter/vendre rapidement sans impacter le prix,liquidity | liquidité | liquidity metric | liquidité financier,macro,macro,English term: Liquidity. Terme français: Liquidité. Définition: Capacité à acheter/vendre rapidement sans impacter le prix. Synonymes: liquidity | liquidité | liquidity metric | liquidité financier. Tags: macro.,Liquidity Liquidité Capacité à acheter/vendre rapidement sans impacter le prix liquidity liquidité liquidity metric liquidité financier macro
49,Option,Option,Produit dérivé donnant un droit d'achat ou de vente,option | option | option metric | option financier,macro,macro,English term: Option. Terme français: Option. Définition: Produit dérivé donnant un droit d'achat ou de vente. Synonymes: option | option | option metric | option financier. Tags: macro.,Option Option Produit dérivé donnant un droit d'achat ou de vente option option option metric option financier macro
50,Interest Rate,Taux d'intérêt,Coût de l'argent dans le temps,interest rate | taux d'intérêt | interest rate metric | taux d'intérêt financier,macro,macro,English term: Interest Rate. Terme français: Taux d'intérêt. Définition: Coût de l'argent dans le temps. Synonymes: interest rate | taux d'intérêt | interest rate metric | taux d'intérêt financier. Tags: macro.,Interest Rate Taux d'intérêt Coût de l'argent dans le temps interest rate taux d'intérêt interest rate metric taux d'intérêt financier macro
51,Revenue,Chiffre d'affaires,Total des ventes générées par une entreprise,revenue | chiffre d'affaires | revenue metric | chiffre d'affaires financier,derivatives,derivatives,English term: Revenue. Terme français: Chiffre d'affaires. Définition: Total des ventes générées par une entreprise. Synonymes: revenue | chiffre d'affaires | revenue metric | chiffre d'affaires financier. Tags: derivatives.,Revenue Chiffre d'affaires Total des ventes générées par une entreprise revenue chiffre d'affaires revenue metric chiffre d'affaires financier derivatives
52,EBITDA,EBITDA,"Résultat avant intérêts, impôts, dépréciation et amortissement",ebitda | ebitda | ebitda metric | ebitda financier,derivatives,derivatives,"English term: EBITDA. Terme français: EBITDA. Définition: Résultat avant intérêts, impôts, dépréciation et amortissement. Synonymes: ebitda | ebitda | ebitda metric | ebitda financier. Tags: derivatives.","EBITDA EBITDA Résultat avant intérêts, impôts, dépréciation et amortissement ebitda ebitda ebitda metric ebitda financier derivatives"
53,Net Income,Résultat net,Profit final après toutes les charges,net income | résultat net | net income metric | résultat net financier,derivatives,derivatives,English term: Net Income. Terme français: Résultat net. Définition: Profit final après toutes les charges. Synonymes: net income | résultat net | net income metric | résultat net financier. Tags: derivatives.,Net Income Résultat net Profit final après toutes les charges net income résultat net net income metric résultat net financier derivatives
54,Cash Flow,Flux de trésorerie,Entrées et sorties de liquidités,cash flow | flux de trésorerie | cash flow metric | flux de trésorerie financier,derivatives,derivatives,English term: Cash Flow. Terme français: Flux de trésorerie. Définition: Entrées et sorties de liquidités. Synonymes: cash flow | flux de trésorerie | cash flow metric | flux de trésorerie financier. Tags: derivatives.,Cash Flow Flux de trésorerie Entrées et sorties de liquidités cash flow flux de trésorerie cash flow metric flux de trésorerie financier derivatives
55,Bond,Obligation,Titre de dette émis par une entité,bond | obligation | bond metric | obligation financier,derivatives,derivatives,English term: Bond. Terme français: Obligation. Définition: Titre de dette émis par une entité. Synonymes: bond | obligation | bond metric | obligation financier. Tags: derivatives.,Bond Obligation Titre de dette émis par une entité bond obligation bond metric obligation financier derivatives
56,Stock,Action,Part de propriété dans une entreprise,stock | action | stock metric | action financier,derivatives,derivatives,English term: Stock. Terme français: Action. Définition: Part de propriété dans une entreprise. Synonymes: stock | action | stock metric | action financier. Tags: derivatives.,Stock Action Part de propriété dans une entreprise stock action stock metric action financier derivatives
57,Volatility,Volatilité,Mesure des fluctuations des prix,volatility | volatilité | volatility metric | volatilité financier,derivatives,derivatives,English term: Volatility. Terme français: Volatilité. Définition: Mesure des fluctuations des prix. Synonymes: volatility | volatilité | volatility metric | volatilité financier. Tags: derivatives.,Volatility Volatilité Mesure des fluctuations des prix volatility volatilité volatility metric volatilité financier derivatives
58,Liquidity,Liquidité,Capacité à acheter/vendre rapidement sans impacter le prix,liquidity | liquidité | liquidity metric | liquidité financier,derivatives,derivatives,English term: Liquidity. Terme français: Liquidité. Définition: Capacité à acheter/vendre rapidement sans impacter le prix. Synonymes: liquidity | liquidité | liquidity metric | liquidité financier. Tags: derivatives.,Liquidity Liquidité Capacité à acheter/vendre rapidement sans impacter le prix liquidity liquidité liquidity metric liquidité financier derivatives
59,Option,Option,Produit dérivé donnant un droit d'achat ou de vente,option | option | option metric | option financier,derivatives,derivatives,English term: Option. Terme français: Option. Définition: Produit dérivé donnant un droit d'achat ou de vente. Synonymes: option | option | option metric | option financier. Tags: derivatives.,Option Option Produit dérivé donnant un droit d'achat ou de vente option option option metric option financier derivatives
60,Interest Rate,Taux d'intérêt,Coût de l'argent dans le temps,interest rate | taux d'intérêt | interest rate metric | taux d'intérêt financier,derivatives,derivatives,English term: Interest Rate. Terme français: Taux d'intérêt. Définition: Coût de l'argent dans le temps. Synonymes: interest rate | taux d'intérêt | interest rate metric | taux d'intérêt financier. Tags: derivatives.,Interest Rate Taux d'intérêt Coût de l'argent dans le temps interest rate taux d'intérêt interest rate metric taux d'intérêt financier derivatives
61,Revenue,Chiffre d'affaires,Total des ventes générées par une entreprise,revenue | chiffre d'affaires | revenue metric | chiffre d'affaires financier,corporate_finance,corporate_finance,English term: Revenue. Terme français: Chiffre d'affaires. Définition: Total des ventes générées par une entreprise. Synonymes: revenue | chiffre d'affaires | revenue metric | chiffre d'affaires financier. Tags: corporate_finance.,Revenue Chiffre d'affaires Total des ventes générées par une entreprise revenue chiffre d'affaires revenue metric chiffre d'affaires financier corporate_finance
62,EBITDA,EBITDA,"Résultat avant intérêts, impôts, dépréciation et amortissement",ebitda | ebitda | ebitda metric | ebitda financier,corporate_finance,corporate_finance,"English term: EBITDA. Terme français: EBITDA. Définition: Résultat avant intérêts, impôts, dépréciation et amortissement. Synonymes: ebitda | ebitda | ebitda metric | ebitda financier. Tags: corporate_finance.","EBITDA EBITDA Résultat avant intérêts, impôts, dépréciation et amortissement ebitda ebitda ebitda metric ebitda financier corporate_finance"
63,Net Income,Résultat net,Profit final après toutes les charges,net income | résultat net | net income metric | résultat net financier,corporate_finance,corporate_finance,English term: Net Income. Terme français: Résultat net. Définition: Profit final après toutes les charges. Synonymes: net income | résultat net | net income metric | résultat net financier. Tags: corporate_finance.,Net Income Résultat net Profit final après toutes les charges net income résultat net net income metric résultat net financier corporate_finance
64,Cash Flow,Flux de trésorerie,Entrées et sorties de liquidités,cash flow | flux de trésorerie | cash flow metric | flux de trésorerie financier,corporate_finance,corporate_finance,English term: Cash Flow. Terme français: Flux de trésorerie. Définition: Entrées et sorties de liquidités. Synonymes: cash flow | flux de trésorerie | cash flow metric | flux de trésorerie financier. Tags: corporate_finance.,Cash Flow Flux de trésorerie Entrées et sorties de liquidités cash flow flux de trésorerie cash flow metric flux de trésorerie financier corporate_finance
65,Bond,Obligation,Titre de dette émis par une entité,bond | obligation | bond metric | obligation financier,corporate_finance,corporate_finance,English term: Bond. Terme français: Obligation. Définition: Titre de dette émis par une entité. Synonymes: bond | obligation | bond metric | obligation financier. Tags: corporate_finance.,Bond Obligation Titre de dette émis par une entité bond obligation bond metric obligation financier corporate_finance
66,Stock,Action,Part de propriété dans une entreprise,stock | action | stock metric | action financier,corporate_finance,corporate_finance,English term: Stock. Terme français: Action. Définition: Part de propriété dans une entreprise. Synonymes: stock | action | stock metric | action financier. Tags: corporate_finance.,Stock Action Part de propriété dans une entreprise stock action stock metric action financier corporate_finance
67,Volatility,Volatilité,Mesure des fluctuations des prix,volatility | volatilité | volatility metric | volatilité financier,corporate_finance,corporate_finance,English term: Volatility. Terme français: Volatilité. Définition: Mesure des fluctuations des prix. Synonymes: volatility | volatilité | volatility metric | volatilité financier. Tags: corporate_finance.,Volatility Volatilité Mesure des fluctuations des prix volatility volatilité volatility metric volatilité financier corporate_finance
68,Liquidity,Liquidité,Capacité à acheter/vendre rapidement sans impacter le prix,liquidity | liquidité | liquidity metric | liquidité financier,corporate_finance,corporate_finance,English term: Liquidity. Terme français: Liquidité. Définition: Capacité à acheter/vendre rapidement sans impacter le prix. Synonymes: liquidity | liquidité | liquidity metric | liquidité financier. Tags: corporate_finance.,Liquidity Liquidité Capacité à acheter/vendre rapidement sans impacter le prix liquidity liquidité liquidity metric liquidité financier corporate_finance
69,Option,Option,Produit dérivé donnant un droit d'achat ou de vente,option | option | option metric | option financier,corporate_finance,corporate_finance,English term: Option. Terme français: Option. Définition: Produit dérivé donnant un droit d'achat ou de vente. Synonymes: option | option | option metric | option financier. Tags: corporate_finance.,Option Option Produit dérivé donnant un droit d'achat ou de vente option option option metric option financier corporate_finance
70,Interest Rate,Taux d'intérêt,Coût de l'argent dans le temps,interest rate | taux d'intérêt | interest rate metric | taux d'intérêt financier,corporate_finance,corporate_finance,English term: Interest Rate. Terme français: Taux d'intérêt. Définition: Coût de l'argent dans le temps. Synonymes: interest rate | taux d'intérêt | interest rate metric | taux d'intérêt financier. Tags: corporate_finance.,Interest Rate Taux d'intérêt Coût de l'argent dans le temps interest rate taux d'intérêt interest rate metric taux d'intérêt financier corporate_finance
71,Revenue,Chiffre d'affaires,Total des ventes générées par une entreprise,revenue | chiffre d'affaires | revenue metric | chiffre d'affaires financier,valuation,valuation,English term: Revenue. Terme français: Chiffre d'affaires. Définition: Total des ventes générées par une entreprise. Synonymes: revenue | chiffre d'affaires | revenue metric | chiffre d'affaires financier. Tags: valuation.,Revenue Chiffre d'affaires Total des ventes générées par une entreprise revenue chiffre d'affaires revenue metric chiffre d'affaires financier valuation
