company,sector,year,revenue_musd,gross_profit_musd,operating_income_musd,net_income_musd,ebitda_musd,cash_musd,current_assets_musd,current_liabilities_musd,total_assets_musd,total_liabilities_musd,equity_musd,total_debt_musd,interest_expense_musd,shares_outstanding_m,stock_price_usd,annual_dividend_per_share_usd,operating_cash_flow_musd,capex_musd
Microsoft,Automotive,2024,592534.25,148504.15,13309.41,25566.24,35228.83,74390.93,438212.4,103387.03,1106013.29,383532.83,722480.46,250034.8,7393.37,1852,110.78,4.69,36625.25,38795.81
Microsoft,Automotive,2025,643734.88,161336.33,12874.7,26228.94,46499.17,136575.13,529751.36,160629.35,1369829.26,480335.33,889493.93,135120.58,7459.64,1852,78.88,0,31231.77,24387.73
Tesla,Consumer,2014,506574.0,187568.34,35352.17,49385.34,56088.04,39755.08,156638.82,63150.96,566423.0,210603.21,355819.78,73888.62,3366.76,3547,452.65,5.53,45529.26,24922.38
Tesla,Consumer,2015,539815.29,199876.54,52760.0,55328.81,103393.28,83304.27,216735.1,54248.63,562651.86,214786.77,347865.09,144695.92,6288.99,3547,472.21,0,122137.14,68942.25
Tesla,Consumer,2016,569443.0,210846.75,41091.15,73635.03,72498.54,38627.39,184432.69,50839.81,505729.26,229532.65,276196.61,64049.26,3577.08,3547,437.77,0,69203.49,54756.51
Tesla,Consumer,2017,591230.12,218913.83,58074.0,66696.38,98629.26,25151.99,163716.45,94085.59,653931.19,280214.3,373716.89,180626.54,5143.41,3547,607.0,0,100284.78,45774.46
Tesla,Consumer,2018,602790.26,223194.18,44638.01,69947.51,77023.49,75795.53,198066.51,85964.27,682766.48,254010.89,428755.59,110322.55,5901.91,3547,480.38,6.34,67320.67,35997.2
Tesla,Consumer,2019,604279.24,223745.51,67245.31,71958.23,87691.9,30506.08,143882.55,71408.61,607831.42,257378.68,350452.75,70683.66,2300.85,3547,283.07,5.59,78501.37,30504.71
Tesla,Consumer,2020,598493.48,221603.22,45494.53,75834.12,100276.43,70546.87,205375.46,76582.19,570735.87,247037.5,323698.37,173174.6,11979.36,3547,372.67,0,74364.33,77340.22
Tesla,Consumer,2021,590308.42,218572.55,51957.98,58786.29,108825.64,101621.26,244506.79,64751.62,610226.3,256969.26,353257.04,152148.52,9928.57,3547,519.54,0,80232.51,56882.44
Tesla,Consumer,2022,585563.36,216815.6,58207.03,74321.36,112786.89,52112.52,155883.7,79104.46,530264.38,250296.47,279967.91,179224.19,11534.46,3547,1009.44,0,93305.95,43960.67
Tesla,Consumer,2023,589644.08,218326.57,55751.92,70692.22,92307.92,129132.53,250999.06,45612.22,644063.38,271199.69,372863.69,81218.02,3743.9,3547,1976.16,0,94223.22,52818.9
Tesla,Consumer,2024,606104.46,224421.33,54359.41,77099.3,82193.4,46467.68,116402.81,67439.16,573005.96,256256.11,316749.84,166955.14,10241.75,3547,1117.62,0,99977.24,66095.84
Tesla,Consumer,2025,635676.37,235370.87,45148.21,67199.82,113227.79,26177.03,202959.96,52839.67,663187.74,292447.09,370740.65,161787.91,3435.9,3547,135.09,0,72387.19,25224.06
Amazon,Industrial,2014,161601.0,62178.18,9443.03,10541.9,17432.61,14041.91,32949.93,11157.63,111947.87,69242.13,42705.74,38089.72,1821.7,13836,199.45,0,21720.79,12959.19
Amazon,Industrial,2015,176937.32,68079.04,3538.75,11046.0,11467.81,11199.41,37036.52,22710.15,144582.74,87509.38,57073.36,35048.53,1284.64,13836,182.76,0.64,9945.62,10435.32
Amazon,Industrial,2016,191777.49,73788.99,6014.09,12726.13,17554.19,18369.73,37811.73,17932.79,152849.66,90751.7,62097.96,25784.61,790.73,13836,260.75,0,18336.6,9501.05
Amazon,Industrial,2017,204586.53,78717.45,6374.01,13623.16,25644.03,7820.97,58491.6,35125.23,150428.07,102833.81,47594.26,29121.85,1629.59,13836,140.34,0,20583.9,27907.46
Amazon,Industrial,2018,214318.59,82461.99,11664.32,10650.67,31160.14,23875.93,55419.84,26646.28,141280.21,83891.96,57388.25,31523.6,727.05,13836,271.76,0,25001.62,10288.62
Amazon,Industrial,2019,220751.88,84937.28,12582.38,12965.26,37058.11,21928.01,68164.58,35041.27,188136.52,111394.37,76742.16,74914.99,4585.81,13836,300.41,0,39760.56,29809.59
Amazon,Industrial,2020,224646.3,86435.71,12200.73,10821.38,21035.06,16401.89,32533.5,30717.25,153451.59,102804.56,50647.03,53560.25,3437.24,13836,285.46,0,22630.07,16566.26
Amazon,Industrial,2021,227662.73,87596.33,11701.05,11922.65,24142.21,18846.97,48625.24,32442.8,151561.89,100923.74,50638.16,72351.51,2545.67,13836,124.54,0,15930.05,14008.39
Amazon,Industrial,2022,232038.46,89279.95,13597.07,12798.4,21634.03,18465.58,60065.06,36816.32,173892.82,117413.12,56479.7,60543.39,3641.9,13836,494.7,0,19191.66,13542.83
Amazon,Industrial,2023,240076.21,92372.58,9619.65,14968.49,37828.07,27053.12,67302.25,29094.95,163284.06,88328.0,74956.06,48171.09,2230.47,13836,444.3,0.74,40432.66,17327.7
Amazon,Industrial,2024,253559.44,97560.44,6488.13,14762.47,14352.96,11625.76,48651.76,20044.15,172686.61,109069.84,63616.77,58757.07,1775.05,13836,1137.63,0,17465.39,2538.16
Amazon,Industrial,2025,273238.25,105132.12,14269.3,16244.45,34779.67,14952.61,56126.49,45534.84,225550.7,134480.52,91070.19,86275.52,3782.5,13836,229.09,0,35758.62,33115.18
Alphabet,Energy,2014,525200.0,171437.89,82397.2,104283.91,121844.26,56086.4,121717.79,77776.26,451948.74,217530.51,234418.23,105549.88,4420.2,5127,93.43,0,99058.36,53398.42
Alphabet,Energy,2015,615410.53,200884.78,86275.29,93692.87,136861.44,22784.99,105645.07,75286.06,573112.3,293963.67,279148.63,115802.51,2200.91,5127,86.35,2.38,115089.13,26849.71
Alphabet,Energy,2016,713851.57,233018.3,116682.28,112900.68,153422.62,53882.1,193095.82,129205.63,780188.55,379734.49,400454.06,95507.66,5190.53,5127,80.5,0,101831.05,78603.88
Alphabet,Energy,2017,814989.7,266032.21,111386.16,135001.18,146507.3,91193.07,195546.6,104692.9,856367.14,392635.62,463731.53,182275.31,12395.98,5127,88.25,0,93700.25,23458.21
Alphabet,Energy,2018,913691.78,298250.94,133313.26,168709.97,216393.3,138315.03,287967.69,102317.76,897070.9,371333.36,525737.54,178207.39,8332.36,5127,74.51,0,236151.06,81926.64
Alphabet,Energy,2019,1007184.62,328769.25,160403.27,186519.47,238387.97,144411.37,390547.16,120542.89,1107203.08,515808.28,591394.8,183176.7,7649.32,5127,195.04,0,291723.65,37619.52
Alphabet,Energy,2020,1096904.32,358055.91,178629.25,189962.69,301476.56,131171.08,275561.12,113260.2,1060547.7,447416.59,613131.11,143632.07,6634.74,5127,70.66,0,274931.41,149990.02
Alphabet,Energy,2021,1189669.21,388336.6,181951.03,174874.24,279716.6,64250.26,482697.55,147246.78,1201757.34,534793.3,666964.04,271785.66,5929.88,5127,219.27,0,199922.2,152433.72
Alphabet,Energy,2022,1297654.43,423585.57,192439.2,184415.01,277454.99,61077.33,386771.16,106966.65,1166791.49,566347.76,600443.73,257214.11,3445.3,5127,244.23,2.75,300109.67,87923.77
Alphabet,Energy,2023,1436855.24,469024.06,203837.98,288118.96,333675.07,77425.69,554923.46,222609.42,1324370.5,624444.01,699926.49,179601.35,8822.68,5127,373.09,2.96,308948.19,161433.53
Alphabet,Energy,2024,1624083.95,530140.01,281208.52,228234.03,361434.91,114476.42,671573.78,118121.44,1622566.71,658204.74,964361.97,304244.02,15988.37,5127,137.5,0,448016.19,162538.11
Alphabet,Energy,2025,1872987.94,611388.25,309148.05,272367.18,455782.66,119502.69,566540.19,196026.64,2036993.7,842670.74,1194322.96,436723.02,19573.59,5127,46.43,0,553260.61,255338.32
Meta,Media,2014,437529.0,164203.42,80198.25,64271.34,129896.02,147875.78,326324.88,164227.67,929986.87,731425.67,198561.2,368683.17,21208.43,17650,173.27,0.37,114555.08,43437.48
Meta,Media,2015,524383.35,196799.62,92190.83,95839.22,120558.43,108264.23,460832.54,152128.62,1143089.99,929840.81,213249.18,553295.41,6485.84,17650,186.16,3.37,130922.31,28744.74
Meta,Media,2016,622148.03,233490.43,102732.21,94826.6,137472.13,55381.31,339466.7,245344.83,1355250.1,913011.2,442238.91,402502.44,5510.23,17650,148.34,3.35,123276.89,18312.83
Meta,Media,2017,726506.96,272656.05,117982.11,140867.62,164549.48,45359.26,364315.44,411941.3,1530286.15,1178798.27,351487.88,485518.98,19326.9,17650,190.67,0,178108.03,88117.11
Meta,Media,2018,833084.82,312654.42,135698.42,161686.14,234896.23,217404.55,520719.13,433658.5,1652444.17,1314750.34,337693.83,615892.96,39310.69,17650,242.54,0,177630.44,68339.27
Meta,Media,2019,939291.58,352513.53,140880.4,136596.86,205818.72,408240.95,824541.92,343896.74,2100255.93,1350885.24,749370.69,852188.04,11316.9,17650,368.79,0,250708.3,54078.07
Meta,Media,2020,1046313.76,392678.65,174253.96,182551.59,287251.9,297959.98,566616.84,334851.17,2341324.81,1543434.92,797889.89,496716.66,15061.99,17650,234.26,0,190260.08,111535.72
Meta,Media,2021,1160703.39,435608.77,177713.78,180942.57,221301.57,237954.85,812489.36,635305.47,2407882.51,1862592.13,545290.39,1000764.21,46016.94,17650,197.49,0,167083.65,23548.03
Meta,Media,2022,1294958.74,485994.43,216909.49,254581.19,311889.81,100523.78,800360.27,556175.56,2474395.06,1861615.79,612779.28,1176425.82,42213.59,17650,74.84,5.35,370288.85,122506.6
Meta,Media,2023,1466600.2,550410.99,259370.38,282608.58,341814.19,117599.93,899812.17,428286.81,3115578.38,2253464.09,862114.29,690769.6,22481.32,17650,129.46,0,390123.79,42362.02
Meta,Media,2024,1695543.9,636332.93,300524.32,281903.88,503864.48,396218.53,1077257.32,451546.21,3413109.31,2531927.92,881181.39,1367733.33,90749.79,17650,80.53,0,483267.5,29388.9
Meta,Media,2025,2000034.05,750607.24,317480.36,281887.49,446481.03,324725.2,1098494.05,505227.04,3464958.67,2784362.14,680596.54,1731938.91,44615.49,17650,203.52,0,483891.98,157358.63
Nvidia,Energy,2014,86263.0,42515.85,7750.27,7029.02,16322.16,19371.07,57066.12,19058.38,165428.25,83487.12,81941.13,60198.81,1707.43,14520,188.84,0,14027.62,2580.37
Nvidia,Energy,2015,98810.65,48700.13,6515.95,10443.96,16894.19,20560.44,41553.86,19583.61,163536.12,69571.04,93965.08,39959.01,1264.41,14520,206.84,0,19361.33,12649.81
Nvidia,Energy,2016,112043.27,55222.0,7725.29,12627.59,11617.36,33691.39,70648.4,28669.98,185565.22,87474.5,98090.73,38320.32,450.1,14520,222.74,0,13271.41,13538.66
Nvidia,Energy,2017,125045.77,61630.45,8806.42,11841.81,18012.67,28145.15,75870.28,38070.43,238958.38,107803.35,131155.04,70310.76,4612.72,14520,225.82,0,13450.75,3720.79
Nvidia,Energy,2018,137042.6,67543.25,10354.73,14374.82,18481.99,19015.04,66330.78,37011.64,209930.69,107320.98,102609.71,67986.72,4134.17,14520,308.07,0,12748.06,8899.05
Nvidia,Energy,2019,147673.98,72783.06,11870.44,16601.45,26525.03,24646.04,52464.59,18575.06,238041.67,108531.34,129510.33,62531.16,2804.72,14520,224.49,1.02,29051.39,4042.66
Nvidia,Energy,2020,157218.14,77487.03,15034.76,16071.03,27564.95,18612.1,53023.86,53899.92,291685.01,158384.28,133300.72,102068.25,1619.24,14520,384.56,0,21016.31,12486.49
Nvidia,Energy,2021,166686.0,82153.39,17432.71,15051.39,25686.68,17449.77,63065.46,25242.77,259075.94,138532.07,120543.87,70303.19,2052.39,14520,415.74,6.28,22323.15,13183.51
Nvidia,Energy,2022,177734.18,87598.63,10186.9,20052.03,16170.54,37372.22,88810.79,42385.42,262891.84,123444.34,139447.49,65188.79,1493.68,14520,79.15,0.93,18449.17,21767.21
Nvidia,Energy,2023,192381.78,94817.89,19355.68,17409.1,28951.38,31250.87,86634.32,44835.97,333304.97,170158.2,163146.77,111007.35,1438.59,14520,84.17,0,29023.62,20030.52
Nvidia,Energy,2024,212568.25,104767.06,19372.39,20931.17,35690.32,22307.2,131929.11,58578.32,397012.76,185790.31,211222.45,116833.56,3236.03,14520,169.34,0,42028.67,20303.7
Nvidia,Energy,2025,239642.54,118110.98,23895.04,19737.18,31164.74,29353.0,96516.46,56697.86,451094.74,243272.33,207822.41,111300.25,4807.85,14520,962.77,0,32211.27,9715.76
JPMorgan,Retail,2014,245510.0,110189.9,56556.64,56084.69,70010.07,41131.51,135306.28,45241.03,363232.35,263827.97,99404.38,96691.87,2037.58,12040,324.56,0,65231.32,12340.38
JPMorgan,Retail,2015,279041.39,125239.47,57570.92,57595.8,73778.98,49806.97,94978.13,61565.91,408856.95,279360.17,129496.79,102482.85,5078.27,12040,351.04,0,48425.32,15877.39
JPMorgan,Retail,2016,313957.49,140910.53,71827.12,79792.57,91008.58,16142.18,66021.82,55742.72,364445.95,221305.97,143139.98,104486.93,2221.35,12040,294.48,0,80965.74,33674.78
JPMorgan,Retail,2017,347675.67,156043.93,70095.49,83489.42,83975.37,95413.04,191252.74,79138.67,492598.44,296301.09,196297.35,177622.71,5466.28,12040,412.35,0,86494.04,8905.93
JPMorgan,Retail,2018,378077.76,169689.01,73754.5,87400.32,108262.58,23422.08,114824.47,105344.66,467281.62,317586.61,149695.01,128216.84,4949.22,12040,338.2,3.82,72301.01,27721.96
JPMorgan,Retail,2019,404249.72,181435.52,85166.11,89946.7,126763.86,43019.63,164583.26,57552.65,460004.99,280561.41,179443.58,196142.0,2977.39,12040,449.31,0,97539.17,20503.41
JPMorgan,Retail,2020,427040.07,191664.3,79081.9,78892.98,95908.28,23919.11,160888.06,86726.99,631660.98,427792.57,203868.41,199349.32,7087.95,12040,555.2,5.07,60534.48,50458.8
JPMorgan,Retail,2021,449247.15,201631.29,98854.77,111677.13,124635.17,29513.72,229446.07,139168.1,558961.04,425510.92,133450.12,211107.51,12484.88,12040,174.19,0,97147.86,59436.21
JPMorgan,Retail,2022,475310.49,213329.05,94300.32,94496.41,111836.15,33808.73,274647.9,112946.84,695422.36,436562.65,258859.72,212861.47,10035.47,12040,122.13,0,112846.99,36070.21
JPMorgan,Retail,2023,510493.95,229120.1,118614.84,93696.89,151128.44,50340.15,183638.59,105703.06,698893.55,490633.56,208259.99,196030.83,5250.97,12040,519.44,0,122788.78,56524.1
JPMorgan,Retail,2024,559687.09,251198.99,106210.46,115139.05,124828.69,99144.03,289465.03,165453.65,816881.4,505310.27,311571.13,225884.58,9511.07,12040,525.8,0,105942.42,44950.87
JPMorgan,Retail,2025,626081.73,280998.26,118806.29,145613.42,192754.83,73944.31,161208.91,175601.71,859552.81,509151.51,350401.29,278636.73,14881.36,12040,855.94,0,158299.98,25477.35
Goldman Sachs,Retail,2014,17705.0,5859.83,3314.36,3080.18,3890.97,4067.91,12852.77,2725.79,30695.05,8527.89,22167.16,3151.73,62.97,3240,437.38,0,4440.65,1588.21
Goldman Sachs,Retail,2015,19385.84,6416.14,3840.02,3367.64,6021.16,1661.56,7887.29,1467.31,32526.55,7369.58,25156.96,3998.51,242.31,3240,520.01,0,4630.96,713.09
Goldman Sachs,Retail,2016,21012.42,6954.49,3579.68,3862.09,4605.71,2142.49,10515.92,2403.6,41523.09,10564.24,30958.85,3643.78,180.42,3240,512.72,5.3,3649.5,1359.61
Goldman Sachs,Retail,2017,22416.54,7419.21,3810.17,4734.9,5713.46,2508.35,15817.85,3044.29,40372.62,10245.39,30127.23,4953.91,244.15,3240,542.7,1.73,4508.63,2529.62
Goldman Sachs,Retail,2018,23483.6,7772.38,3955.54,4936.32,5577.76,4543.06,16513.98,1971.51,39818.75,10782.6,29036.15,7943.87,216.96,3240,537.35,5.41,3494.3,1494.87
Goldman Sachs,Retail,2019,24189.25,8005.93,4326.81,5008.99,5416.61,4845.06,13794.07,2799.88,42285.58,10022.35,32263.23,6769.78,310.15,3240,587.73,0,4543.09,3086.8
Goldman Sachs,Retail,2020,24616.74,8147.41,5006.78,4014.8,6814.46,4554.9,15641.6,2862.42,47479.2,11623.17,35856.03,6372.32,184.04,3240,302.13,0,8496.99,892.12
Goldman Sachs,Retail,2021,24948.04,8257.06,4656.48,4731.95,7139.38,1867.44,8280.7,2424.94,37599.15,8606.53,28992.62,2165.63,105.34,3240,1020.41,6.08,5937.71,931.27
Goldman Sachs,Retail,2022,25428.32,8416.02,4371.42,4362.84,5823.82,3096.78,11794.35,3519.45,47320.25,11249.37,36070.87,7271.36,414.83,3240,1765.84,0,5835.36,3181.7
Goldman Sachs,Retail,2023,26309.96,8707.82,4816.65,4414.23,5962.77,2605.62,11477.23,2675.68,50750.44,12066.99,38683.45,6777.17,375.0,3240,1011.98,0,4941.83,1939.68
Goldman Sachs,Retail,2024,27788.43,9197.15,5469.96,5181.05,8668.42,6843.12,14623.57,3238.26,41344.35,11383.6,29960.75,8269.36,447.31,3240,600.85,0,7850.47,3754.86
Goldman Sachs,Retail,2025,29946.01,9911.24,5843.22,6715.83,6787.92,2049.17,10391.88,1965.42,44947.35,12741.4,32205.95,3433.14,55.47,3240,156.67,0,8313.6,714.49
Citi,Retail,2014,250362.0,67702.56,14101.84,15971.17,24610.86,24184.31,74604.66,31548.68,306536.12,163794.3,142741.82,50267.76,1516.3,4647,486.97,0,16760.33,22613.43
Citi,Retail,2015,268592.02,72632.3,9050.58,19033.12,29195.99,21034.49,55300.63,32180.54,263439.2,143586.17,119853.04,41528.76,933.7,4647,538.59,0,21051.24,34333.57
Citi,Retail,2016,285246.66,77136.02,16295.51,19016.97,45213.45,40414.62,111663.87,53808.88,317097.46,166738.49,150358.97,58994.02,1256.37,4647,447.99,0,40189.36,23899.21
Citi,Retail,2017,298159.92,80628.01,19910.33,21564.72,38354.7,40439.21,131327.17,44774.81,323922.5,147668.43,176254.06,108316.41,6140.64,4647,466.11,0,44938.7,37046.22
Citi,Retail,2018,306042.21,82759.53,19152.39,25747.82,44399.39,13021.99,84740.49,42795.09,298317.08,154229.23,144087.85,86054.44,4600.09,4647,497.64,0.28,40937.94,25697.64
Citi,Retail,2019,308869.61,83524.11,14893.19,22488.88,42725.23,30546.58,83848.68,76613.69,400042.18,226751.64,173290.54,169858.49,7425.8,4647,386.89,5.35,33213.19,7815.1
Citi,Retail,2020,307977.74,83282.93,13494.99,22692.25,41087.53,16325.0,62654.93,47178.8,302477.92,143794.77,158683.15,61996.16,3448.95,4647,321.34,5.91,30280.8,11262.02
Citi,Retail,2021,305816.76,82698.56,16243.25,18685.91,46753.41,56254.75,107737.97,56220.14,358661.0,175715.21,182945.8,128517.48,4130.37,4647,296.78,0,34510.78,6592.25
Citi,Retail,2022,305406.72,82587.68,22428.65,23436.63,50668.0,36956.59,116028.58,37059.77,333237.7,182432.55,150805.14,53291.24,3049.52,4647,307.89,0,52941.31,14575.05
Citi,Retail,2023,309611.47,83724.72,23493.23,20774.26,46582.29,49470.06,155464.53,64585.01,370516.23,206848.53,163667.7,122074.25,5419.64,4647,929.95,0,44542.15,27641.25
Citi,Retail,2024,320403.29,86643.03,8765.32,25924.44,27010.8,20548.19,107111.49,48430.5,338778.94,155465.34,183313.6,46626.11,749.99,4647,2774.48,2.38,17003.11,8991.52
Citi,Retail,2025,338304.64,91483.89,25895.62,25162.71,51639.27,53989.23,124568.52,68542.8,391947.71,206180.21,185767.5,56467.73,3371.01,4647,1668.32,0,35150.05,45782.54
Bank of America,Energy,2014,17235.0,4237.58,700.81,754.81,2150.74,2813.49,6042.59,3737.59,30623.41,19843.73,10779.69,9074.95,255.85,9224,253.35,0,2254.09,1739.3
Bank of America,Energy,2015,19164.98,4712.1,869.8,904.54,2479.14,1406.64,9018.54,6012.38,37446.01,22883.17,14562.85,9030.11,243.73,9224,269.26,0,2079.55,782.85
Bank of America,Energy,2016,21096.39,5186.98,421.93,1152.74,2669.92,6159.23,11237.88,8359.51,38948.86,26063.14,12885.72,14670.19,589.55,9224,220.51,0,2553.12,1716.41
Bank of America,Energy,2017,22856.46,5619.73,890.65,1356.29,2366.62,6294.32,13512.7,3847.59,37113.96,24318.57,12795.38,8019.82,80.97,9224,268.31,0.25,2322.83,274.05
Bank of America,Energy,2018,24317.19,5978.88,1020.31,1390.9,1971.99,3169.87,14319.61,9329.76,48938.62,32579.12,16359.5,9405.74,342.29,9224,334.0,0,2330.8,999.48
Bank of America,Energy,2019,25437.8,6254.41,1379.11,1224.15,2848.25,5760.71,12786.88,8309.88,48630.29,33676.04,14954.25,16477.65,360.84,9224,199.92,0,1774.63,634.22
Bank of America,Energy,2020,26290.33,6464.02,1128.96,1074.37,4106.24,7308.97,16303.67,7033.14,43605.79,33970.35,9635.44,18265.58,1186.75,9224,143.17,0,2650.44,606.04
Bank of America,Energy,2021,27058.91,6652.99,908.42,1218.61,2428.08,2196.67,10719.44,10820.34,50127.43,37601.75,12525.68,15062.05,483.15,9224,111.53,0,2392.76,3203.22
Bank of America,Energy,2022,28009.15,6886.63,1231.92,1653.39,4451.17,4176.41,20445.15,9716.9,54226.78,34151.35,20075.43,9836.85,582.24,9224,283.13,2.59,2925.19,1739.99
Bank of America,Energy,2023,29431.38,7236.31,588.63,1308.09,1692.66,3949.6,21959.46,7237.6,60801.24,40548.8,20252.45,13862.64,409.06,9224,144.93,0,1578.38,1522.46
Bank of America,Energy,2024,31569.15,7761.93,631.38,1553.76,3318.25,3579.67,14006.5,8363.66,52801.2,34559.67,18241.53,23307.91,568.58,9224,370.66,0,2371.17,3061.37
Bank of America,Energy,2025,34549.85,8494.79,691.0,1661.53,1747.75,8484.95,21454.57,12203.17,61989.86,38716.75,23273.11,13478.83,396.38,9224,136.61,0,1345.49,2412.56
Wells Fargo,Media,2014,365243.0,95448.09,45047.79,52293.62,78218.62,68662.86,131596.99,166690.62,576568.82,483160.19,93408.63,272631.68,5460.24,9325,300.42,0,56463.93,45138.53
Wells Fargo,Media,2015,383981.14,100344.88,47189.78,44882.72,68554.91,73649.8,240367.63,135143.81,659855.34,485513.25,174342.09,278653.86,13806.43,9325,332.55,0,58351.23,29488.55
Wells Fargo,Media,2016,399613.99,104430.18,54240.71,55736.76,91078.23,87484.49,203891.67,140512.53,648044.17,441157.95,206886.22,245956.38,16467.28,9325,308.55,5.31,54716.01,37295.01
Wells Fargo,Media,2017,409329.15,106969.02,38036.16,44092.48,71192.03,22023.81,128463.37,137032.99,634182.04,520218.4,113963.64,203695.69,11016.79,9325,439.0,0,87817.98,43418.42
Wells Fargo,Media,2018,411725.78,107595.32,44768.98,53413.55,69211.17,44159.26,235131.09,106891.88,774210.33,566692.51,207517.82,373769.87,14989.56,9325,474.51,3.77,44749.2,45795.43
Wells Fargo,Media,2019,407197.61,106411.99,43851.36,48896.18,58630.25,97881.01,184726.78,192383.21,818833.15,633546.46,185286.7,354991.4,13172.93,9325,405.65,0,65546.04,6363.32
Wells Fargo,Media,2020,397880.51,103977.17,50295.9,55987.51,93689.01,123353.51,231471.88,166390.36,648725.04,517046.09,131678.95,376334.08,20346.75,9325,680.69,0,64575.84,14973.96
Wells Fargo,Media,2021,387166.64,101177.34,40061.04,56138.15,82105.04,128326.55,271331.71,178550.28,714452.82,600232.53,114220.28,341662.01,17648.15,9325,179.11,0,101646.74,5642.98
