type: risk_regulation. topic: credit risk. content: Credit Risk refers to the possibility of losses arising from exposure related to credit risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: net stable funding ratio.. regulation_reference: net stable funding ratio. difficulty: advanced
type: risk_regulation. topic: country risk. content: Country Risk refers to the possibility of losses arising from exposure related to country risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: Basel III.. regulation_reference: Basel III. difficulty: intermediate
type: risk_regulation. topic: operational risk. content: Operational Risk refers to the possibility of losses arising from exposure related to operational risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: net stable funding ratio.. regulation_reference: net stable funding ratio. difficulty: intermediate
type: risk_regulation. topic: inflation risk. content: Inflation Risk refers to the possibility of losses arising from exposure related to inflation risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: anti-money laundering.. regulation_reference: anti-money laundering. difficulty: intermediate
type: risk_regulation. topic: model risk. content: Model Risk refers to the possibility of losses arising from exposure related to model risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: consumer protection.. regulation_reference: consumer protection. difficulty: advanced
type: risk_regulation. topic: country risk. content: Country Risk refers to the possibility of losses arising from exposure related to country risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: anti-money laundering.. regulation_reference: anti-money laundering. difficulty: advanced
type: risk_regulation. topic: interest rate risk. content: Interest Rate Risk refers to the possibility of losses arising from exposure related to interest rate risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: consumer protection.. regulation_reference: consumer protection. difficulty: intermediate
type: risk_regulation. topic: currency risk. content: Currency Risk refers to the possibility of losses arising from exposure related to currency risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: SEC disclosure.. regulation_reference: SEC disclosure. difficulty: intermediate
type: risk_regulation. topic: counterparty risk. content: Counterparty Risk refers to the possibility of losses arising from exposure related to counterparty risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: SEC disclosure.. regulation_reference: SEC disclosure. difficulty: intermediate
type: risk_regulation. topic: concentration risk. content: Concentration Risk refers to the possibility of losses arising from exposure related to concentration risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: stress testing.. regulation_reference: stress testing. difficulty: advanced
type: risk_regulation. topic: country risk. content: Country Risk refers to the possibility of losses arising from exposure related to country risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: capital adequacy.. regulation_reference: capital adequacy. difficulty: basic
type: risk_regulation. topic: interest rate risk. content: Interest Rate Risk refers to the possibility of losses arising from exposure related to interest rate risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: KYC.. regulation_reference: KYC. difficulty: basic
type: risk_regulation. topic: counterparty risk. content: Counterparty Risk refers to the possibility of losses arising from exposure related to counterparty risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: consumer protection.. regulation_reference: consumer protection. difficulty: advanced
type: risk_regulation. topic: interest rate risk. content: Interest Rate Risk refers to the possibility of losses arising from exposure related to interest rate risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: Basel III.. regulation_reference: Basel III. difficulty: basic
type: risk_regulation. topic: liquidity risk. content: Liquidity Risk refers to the possibility of losses arising from exposure related to liquidity risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: stress testing.. regulation_reference: stress testing. difficulty: basic
type: risk_regulation. topic: liquidity risk. content: Liquidity Risk refers to the possibility of losses arising from exposure related to liquidity risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: capital adequacy.. regulation_reference: capital adequacy. difficulty: intermediate
type: risk_regulation. topic: country risk. content: Country Risk refers to the possibility of losses arising from exposure related to country risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: stress testing.. regulation_reference: stress testing. difficulty: advanced
type: risk_regulation. topic: currency risk. content: Currency Risk refers to the possibility of losses arising from exposure related to currency risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: net stable funding ratio.. regulation_reference: net stable funding ratio. difficulty: advanced
type: risk_regulation. topic: liquidity risk. content: Liquidity Risk refers to the possibility of losses arising from exposure related to liquidity risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: stress testing.. regulation_reference: stress testing. difficulty: advanced
type: risk_regulation. topic: interest rate risk. content: Interest Rate Risk refers to the possibility of losses arising from exposure related to interest rate risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: liquidity coverage ratio.. regulation_reference: liquidity coverage ratio. difficulty: basic
type: risk_regulation. topic: interest rate risk. content: Interest Rate Risk refers to the possibility of losses arising from exposure related to interest rate risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: SEC disclosure.. regulation_reference: SEC disclosure. difficulty: basic
type: risk_regulation. topic: credit risk. content: Credit Risk refers to the possibility of losses arising from exposure related to credit risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: Basel III.. regulation_reference: Basel III. difficulty: intermediate
type: risk_regulation. topic: refinancing risk. content: Refinancing Risk refers to the possibility of losses arising from exposure related to refinancing risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: KYC.. regulation_reference: KYC. difficulty: basic
type: risk_regulation. topic: currency risk. content: Currency Risk refers to the possibility of losses arising from exposure related to currency risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: consumer protection.. regulation_reference: consumer protection. difficulty: basic
type: risk_regulation. topic: commodity risk. content: Commodity Risk refers to the possibility of losses arising from exposure related to commodity risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: Basel III.. regulation_reference: Basel III. difficulty: intermediate
type: risk_regulation. topic: commodity risk. content: Commodity Risk refers to the possibility of losses arising from exposure related to commodity risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: KYC.. regulation_reference: KYC. difficulty: basic
type: risk_regulation. topic: concentration risk. content: Concentration Risk refers to the possibility of losses arising from exposure related to concentration risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: consumer protection.. regulation_reference: consumer protection. difficulty: advanced
type: risk_regulation. topic: operational risk. content: Operational Risk refers to the possibility of losses arising from exposure related to operational risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: SEC disclosure.. regulation_reference: SEC disclosure. difficulty: intermediate
type: risk_regulation. topic: market risk. content: Market Risk refers to the possibility of losses arising from exposure related to market risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: stress testing.. regulation_reference: stress testing. difficulty: intermediate
type: risk_regulation. topic: refinancing risk. content: Refinancing Risk refers to the possibility of losses arising from exposure related to refinancing risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: Basel III.. regulation_reference: Basel III. difficulty: intermediate
type: risk_regulation. topic: refinancing risk. content: Refinancing Risk refers to the possibility of losses arising from exposure related to refinancing risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: capital adequacy.. regulation_reference: capital adequacy. difficulty: advanced
type: risk_regulation. topic: inflation risk. content: Inflation Risk refers to the possibility of losses arising from exposure related to inflation risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: net stable funding ratio.. regulation_reference: net stable funding ratio. difficulty: intermediate
type: risk_regulation. topic: counterparty risk. content: Counterparty Risk refers to the possibility of losses arising from exposure related to counterparty risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: IFRS reporting.. regulation_reference: IFRS reporting. difficulty: basic
type: risk_regulation. topic: refinancing risk. content: Refinancing Risk refers to the possibility of losses arising from exposure related to refinancing risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: anti-money laundering.. regulation_reference: anti-money laundering. difficulty: advanced
type: risk_regulation. topic: concentration risk. content: Concentration Risk refers to the possibility of losses arising from exposure related to concentration risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: Basel III.. regulation_reference: Basel III. difficulty: basic
type: risk_regulation. topic: currency risk. content: Currency Risk refers to the possibility of losses arising from exposure related to currency risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: anti-money laundering.. regulation_reference: anti-money laundering. difficulty: advanced
type: risk_regulation. topic: operational risk. content: Operational Risk refers to the possibility of losses arising from exposure related to operational risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: stress testing.. regulation_reference: stress testing. difficulty: basic
type: risk_regulation. topic: credit risk. content: Credit Risk refers to the possibility of losses arising from exposure related to credit risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: KYC.. regulation_reference: KYC. difficulty: basic
type: risk_regulation. topic: cyber risk. content: Cyber Risk refers to the possibility of losses arising from exposure related to cyber risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: IFRS reporting.. regulation_reference: IFRS reporting. difficulty: basic
type: risk_regulation. topic: inflation risk. content: Inflation Risk refers to the possibility of losses arising from exposure related to inflation risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: consumer protection.. regulation_reference: consumer protection. difficulty: intermediate
type: risk_regulation. topic: credit risk. content: Credit Risk refers to the possibility of losses arising from exposure related to credit risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: net stable funding ratio.. regulation_reference: net stable funding ratio. difficulty: intermediate
type: risk_regulation. topic: interest rate risk. content: Interest Rate Risk refers to the possibility of losses arising from exposure related to interest rate risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: IFRS reporting.. regulation_reference: IFRS reporting. difficulty: basic
type: risk_regulation. topic: credit risk. content: Credit Risk refers to the possibility of losses arising from exposure related to credit risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: liquidity coverage ratio.. regulation_reference: liquidity coverage ratio. difficulty: advanced
type: risk_regulation. topic: country risk. content: Country Risk refers to the possibility of losses arising from exposure related to country risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: consumer protection.. regulation_reference: consumer protection. difficulty: intermediate
type: risk_regulation. topic: liquidity risk. content: Liquidity Risk refers to the possibility of losses arising from exposure related to liquidity risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: liquidity coverage ratio.. regulation_reference: liquidity coverage ratio. difficulty: advanced
type: risk_regulation. topic: commodity risk. content: Commodity Risk refers to the possibility of losses arising from exposure related to commodity risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: Basel III.. regulation_reference: Basel III. difficulty: advanced
type: risk_regulation. topic: model risk. content: Model Risk refers to the possibility of losses arising from exposure related to model risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: KYC.. regulation_reference: KYC. difficulty: intermediate
type: risk_regulation. topic: operational risk. content: Operational Risk refers to the possibility of losses arising from exposure related to operational risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: capital adequacy.. regulation_reference: capital adequacy. difficulty: basic
type: risk_regulation. topic: concentration risk. content: Concentration Risk refers to the possibility of losses arising from exposure related to concentration risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: capital adequacy.. regulation_reference: capital adequacy. difficulty: intermediate
type: risk_regulation. topic: currency risk. content: Currency Risk refers to the possibility of losses arising from exposure related to currency risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: consumer protection.. regulation_reference: consumer protection. difficulty: intermediate
type: risk_regulation. topic: refinancing risk. content: Refinancing Risk refers to the possibility of losses arising from exposure related to refinancing risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: consumer protection.. regulation_reference: consumer protection. difficulty: advanced
type: risk_regulation. topic: inflation risk. content: Inflation Risk refers to the possibility of losses arising from exposure related to inflation risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: stress testing.. regulation_reference: stress testing. difficulty: basic
type: risk_regulation. topic: refinancing risk. content: Refinancing Risk refers to the possibility of losses arising from exposure related to refinancing risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: anti-money laundering.. regulation_reference: anti-money laundering. difficulty: basic
type: risk_regulation. topic: currency risk. content: Currency Risk refers to the possibility of losses arising from exposure related to currency risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: net stable funding ratio.. regulation_reference: net stable funding ratio. difficulty: intermediate
type: risk_regulation. topic: compliance risk. content: Compliance Risk refers to the possibility of losses arising from exposure related to compliance risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: capital adequacy.. regulation_reference: capital adequacy. difficulty: basic
type: risk_regulation. topic: model risk. content: Model Risk refers to the possibility of losses arising from exposure related to model risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: anti-money laundering.. regulation_reference: anti-money laundering. difficulty: basic
type: risk_regulation. topic: operational risk. content: Operational Risk refers to the possibility of losses arising from exposure related to operational risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: liquidity coverage ratio.. regulation_reference: liquidity coverage ratio. difficulty: advanced
type: risk_regulation. topic: credit risk. content: Credit Risk refers to the possibility of losses arising from exposure related to credit risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: net stable funding ratio.. regulation_reference: net stable funding ratio. difficulty: basic
type: risk_regulation. topic: country risk. content: Country Risk refers to the possibility of losses arising from exposure related to country risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: IFRS reporting.. regulation_reference: IFRS reporting. difficulty: basic
type: risk_regulation. topic: compliance risk. content: Compliance Risk refers to the possibility of losses arising from exposure related to compliance risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: net stable funding ratio.. regulation_reference: net stable funding ratio. difficulty: intermediate
type: risk_regulation. topic: commodity risk. content: Commodity Risk refers to the possibility of losses arising from exposure related to commodity risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: consumer protection.. regulation_reference: consumer protection. difficulty: basic
type: risk_regulation. topic: cyber risk. content: Cyber Risk refers to the possibility of losses arising from exposure related to cyber risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: consumer protection.. regulation_reference: consumer protection. difficulty: basic
type: risk_regulation. topic: commodity risk. content: Commodity Risk refers to the possibility of losses arising from exposure related to commodity risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: capital adequacy.. regulation_reference: capital adequacy. difficulty: advanced
type: risk_regulation. topic: commodity risk. content: Commodity Risk refers to the possibility of losses arising from exposure related to commodity risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: stress testing.. regulation_reference: stress testing. difficulty: intermediate
type: risk_regulation. topic: compliance risk. content: Compliance Risk refers to the possibility of losses arising from exposure related to compliance risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: anti-money laundering.. regulation_reference: anti-money laundering. difficulty: basic
type: risk_regulation. topic: counterparty risk. content: Counterparty Risk refers to the possibility of losses arising from exposure related to counterparty risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: capital adequacy.. regulation_reference: capital adequacy. difficulty: basic
type: risk_regulation. topic: cyber risk. content: Cyber Risk refers to the possibility of losses arising from exposure related to cyber risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: net stable funding ratio.. regulation_reference: net stable funding ratio. difficulty: intermediate
type: risk_regulation. topic: credit risk. content: Credit Risk refers to the possibility of losses arising from exposure related to credit risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: liquidity coverage ratio.. regulation_reference: liquidity coverage ratio. difficulty: basic
type: risk_regulation. topic: currency risk. content: Currency Risk refers to the possibility of losses arising from exposure related to currency risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: consumer protection.. regulation_reference: consumer protection. difficulty: advanced
type: risk_regulation. topic: counterparty risk. content: Counterparty Risk refers to the possibility of losses arising from exposure related to counterparty risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: anti-money laundering.. regulation_reference: anti-money laundering. difficulty: basic
type: risk_regulation. topic: market risk. content: Market Risk refers to the possibility of losses arising from exposure related to market risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: liquidity coverage ratio.. regulation_reference: liquidity coverage ratio. difficulty: basic
type: risk_regulation. topic: operational risk. content: Operational Risk refers to the possibility of losses arising from exposure related to operational risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: capital adequacy.. regulation_reference: capital adequacy. difficulty: advanced
type: risk_regulation. topic: inflation risk. content: Inflation Risk refers to the possibility of losses arising from exposure related to inflation risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: liquidity coverage ratio.. regulation_reference: liquidity coverage ratio. difficulty: intermediate
type: risk_regulation. topic: model risk. content: Model Risk refers to the possibility of losses arising from exposure related to model risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: SEC disclosure.. regulation_reference: SEC disclosure. difficulty: intermediate
type: risk_regulation. topic: country risk. content: Country Risk refers to the possibility of losses arising from exposure related to country risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: SEC disclosure.. regulation_reference: SEC disclosure. difficulty: basic
type: risk_regulation. topic: operational risk. content: Operational Risk refers to the possibility of losses arising from exposure related to operational risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: SEC disclosure.. regulation_reference: SEC disclosure. difficulty: basic
type: risk_regulation. topic: market risk. content: Market Risk refers to the possibility of losses arising from exposure related to market risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: IFRS reporting.. regulation_reference: IFRS reporting. difficulty: basic
type: risk_regulation. topic: refinancing risk. content: Refinancing Risk refers to the possibility of losses arising from exposure related to refinancing risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: stress testing.. regulation_reference: stress testing. difficulty: intermediate
type: risk_regulation. topic: credit risk. content: Credit Risk refers to the possibility of losses arising from exposure related to credit risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: SEC disclosure.. regulation_reference: SEC disclosure. difficulty: basic
type: risk_regulation. topic: country risk. content: Country Risk refers to the possibility of losses arising from exposure related to country risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: capital adequacy.. regulation_reference: capital adequacy. difficulty: advanced
type: risk_regulation. topic: liquidity risk. content: Liquidity Risk refers to the possibility of losses arising from exposure related to liquidity risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: Basel III.. regulation_reference: Basel III. difficulty: intermediate
type: risk_regulation. topic: country risk. content: Country Risk refers to the possibility of losses arising from exposure related to country risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: KYC.. regulation_reference: KYC. difficulty: intermediate
type: risk_regulation. topic: refinancing risk. content: Refinancing Risk refers to the possibility of losses arising from exposure related to refinancing risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: KYC.. regulation_reference: KYC. difficulty: intermediate
type: risk_regulation. topic: interest rate risk. content: Interest Rate Risk refers to the possibility of losses arising from exposure related to interest rate risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: anti-money laundering.. regulation_reference: anti-money laundering. difficulty: intermediate
type: risk_regulation. topic: operational risk. content: Operational Risk refers to the possibility of losses arising from exposure related to operational risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: consumer protection.. regulation_reference: consumer protection. difficulty: basic
type: risk_regulation. topic: counterparty risk. content: Counterparty Risk refers to the possibility of losses arising from exposure related to counterparty risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: Basel III.. regulation_reference: Basel III. difficulty: basic
type: risk_regulation. topic: cyber risk. content: Cyber Risk refers to the possibility of losses arising from exposure related to cyber risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: stress testing.. regulation_reference: stress testing. difficulty: advanced
type: risk_regulation. topic: operational risk. content: Operational Risk refers to the possibility of losses arising from exposure related to operational risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: IFRS reporting.. regulation_reference: IFRS reporting. difficulty: basic
type: risk_regulation. topic: market risk. content: Market Risk refers to the possibility of losses arising from exposure related to market risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: anti-money laundering.. regulation_reference: anti-money laundering. difficulty: intermediate
type: risk_regulation. topic: model risk. content: Model Risk refers to the possibility of losses arising from exposure related to model risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: Basel III.. regulation_reference: Basel III. difficulty: intermediate
type: risk_regulation. topic: model risk. content: Model Risk refers to the possibility of losses arising from exposure related to model risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: IFRS reporting.. regulation_reference: IFRS reporting. difficulty: intermediate
type: risk_regulation. topic: currency risk. content: Currency Risk refers to the possibility of losses arising from exposure related to currency risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: KYC.. regulation_reference: KYC. difficulty: basic
type: risk_regulation. topic: currency risk. content: Currency Risk refers to the possibility of losses arising from exposure related to currency risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: IFRS reporting.. regulation_reference: IFRS reporting. difficulty: intermediate
type: risk_regulation. topic: compliance risk. content: Compliance Risk refers to the possibility of losses arising from exposure related to compliance risk. A firm may mitigate this through hedging, diversification, controls, limits, monitoring, and governance. Related regulatory area: net stable funding ratio.. regulation_reference: net stable funding ratio. difficulty: advanced
